id,sleepday,totalsleeprecords,totalminutesasleep,totaltimeinbed,sleep_efficiency,sleep_deficit,merge_date
1503960366,2016-04-12,1,327,346,94.50867052023122,153,2016-04-12
1503960366,2016-04-13,2,384,407,94.34889434889435,96,2016-04-13
1503960366,2016-04-15,1,412,442,93.21266968325791,68,2016-04-15
1503960366,2016-04-16,2,340,367,92.64305177111717,140,2016-04-16
1503960366,2016-04-17,1,700,712,98.31460674157303,-220,2016-04-17
1503960366,2016-04-19,1,304,320,95.0,176,2016-04-19
1503960366,2016-04-20,1,360,377,95.49071618037135,120,2016-04-20
1503960366,2016-04-21,1,325,364,89.28571428571429,155,2016-04-21
1503960366,2016-04-23,1,361,384,94.01041666666666,119,2016-04-23
1503960366,2016-04-24,1,430,449,95.7683741648107,50,2016-04-24
1503960366,2016-04-25,1,277,323,85.75851393188854,203,2016-04-25
1503960366,2016-04-26,1,245,274,89.41605839416059,235,2016-04-26
1503960366,2016-04-28,1,366,393,93.12977099236642,114,2016-04-28
1503960366,2016-04-29,1,341,354,96.32768361581921,139,2016-04-29
1503960366,2016-04-30,1,404,425,95.05882352941177,76,2016-04-30
1503960366,2016-05-01,1,369,396,93.18181818181817,111,2016-05-01
1503960366,2016-05-02,1,277,309,89.64401294498381,203,2016-05-02
1503960366,2016-05-03,1,273,296,92.22972972972973,207,2016-05-03
1503960366,2016-05-05,1,247,264,93.56060606060606,233,2016-05-05
1503960366,2016-05-06,1,334,367,91.00817438692098,146,2016-05-06
1503960366,2016-05-07,1,331,349,94.84240687679083,149,2016-05-07
1503960366,2016-05-08,1,594,611,97.21767594108019,-114,2016-05-08
1503960366,2016-05-09,1,338,342,98.83040935672514,142,2016-05-09
1503960366,2016-05-10,1,383,403,95.03722084367246,97,2016-05-10
1503960366,2016-05-11,1,285,306,93.13725490196079,195,2016-05-11
1644430081,2016-04-29,1,119,127,93.7007874015748,361,2016-04-29
1644430081,2016-04-30,1,124,142,87.32394366197182,356,2016-04-30
1644430081,2016-05-02,1,796,961,82.83038501560874,-316,2016-05-02
1644430081,2016-05-08,1,137,154,88.96103896103897,343,2016-05-08
1844505072,2016-04-15,1,644,961,67.01352757544224,-164,2016-04-15
1844505072,2016-04-30,1,722,961,75.13007284079085,-242,2016-04-30
1844505072,2016-05-01,1,590,961,61.39438085327783,-110,2016-05-01
1927972279,2016-04-12,3,750,775,96.7741935483871,-270,2016-04-12
1927972279,2016-04-13,1,398,422,94.3127962085308,82,2016-04-13
1927972279,2016-04-15,2,475,499,95.19038076152304,5,2016-04-15
1927972279,2016-04-26,1,296,315,93.96825396825396,184,2016-04-26
1927972279,2016-04-28,1,166,178,93.25842696629213,314,2016-04-28
2026352035,2016-04-12,1,503,546,92.12454212454212,-23,2016-04-12
2026352035,2016-04-13,1,531,565,93.98230088495575,-51,2016-04-13
2026352035,2016-04-14,1,545,568,95.95070422535211,-65,2016-04-14
2026352035,2016-04-15,1,523,573,91.2739965095986,-43,2016-04-15
2026352035,2016-04-16,1,524,567,92.41622574955908,-44,2016-04-16
2026352035,2016-04-17,1,437,498,87.75100401606426,43,2016-04-17
2026352035,2016-04-19,1,498,540,92.22222222222223,-18,2016-04-19
2026352035,2016-04-20,1,461,510,90.3921568627451,19,2016-04-20
2026352035,2016-04-21,1,477,514,92.80155642023347,3,2016-04-21
2026352035,2016-04-22,1,520,545,95.41284403669725,-40,2016-04-22
2026352035,2016-04-23,1,522,554,94.22382671480143,-42,2016-04-23
2026352035,2016-04-24,1,555,591,93.90862944162437,-75,2016-04-24
2026352035,2016-04-25,1,506,531,95.29190207156309,-26,2016-04-25
2026352035,2016-04-27,1,508,545,93.21100917431193,-28,2016-04-27
2026352035,2016-04-28,1,513,545,94.12844036697248,-33,2016-04-28
2026352035,2016-04-29,1,490,510,96.07843137254902,-10,2016-04-29
2026352035,2016-04-30,1,573,607,94.3986820428336,-93,2016-04-30
2026352035,2016-05-01,1,527,546,96.52014652014653,-47,2016-05-01
2026352035,2016-05-02,1,511,543,94.10681399631676,-31,2016-05-02
2026352035,2016-05-04,1,538,560,96.07142857142857,-58,2016-05-04
2026352035,2016-05-05,1,468,485,96.49484536082474,12,2016-05-05
2026352035,2016-05-06,1,524,548,95.62043795620438,-44,2016-05-06
2026352035,2016-05-07,1,511,521,98.0806142034549,-31,2016-05-07
2026352035,2016-05-08,1,541,568,95.24647887323944,-61,2016-05-08
2026352035,2016-05-09,1,531,556,95.50359712230215,-51,2016-05-09
2026352035,2016-05-10,1,357,380,93.94736842105263,123,2016-05-10
2026352035,2016-05-11,1,523,553,94.57504520795659,-43,2016-05-11
2026352035,2016-05-12,1,456,485,94.02061855670102,24,2016-05-12
2320127002,2016-04-23,1,61,69,88.40579710144928,419,2016-04-23
2347167796,2016-04-13,1,467,531,87.94726930320151,13,2016-04-13
2347167796,2016-04-14,1,445,489,91.00204498977506,35,2016-04-14
2347167796,2016-04-15,1,452,504,89.68253968253968,28,2016-04-15
2347167796,2016-04-17,1,556,602,92.35880398671097,-76,2016-04-17
2347167796,2016-04-18,1,500,557,89.76660682226212,-20,2016-04-18
2347167796,2016-04-19,1,465,514,90.46692607003891,15,2016-04-19
2347167796,2016-04-21,1,460,484,95.0413223140496,20,2016-04-21
2347167796,2016-04-22,1,405,461,87.85249457700651,75,2016-04-22
2347167796,2016-04-23,1,374,386,96.89119170984456,106,2016-04-23
2347167796,2016-04-24,1,442,459,96.29629629629629,38,2016-04-24
2347167796,2016-04-25,1,433,471,91.93205944798302,47,2016-04-25
2347167796,2016-04-26,1,436,490,88.9795918367347,44,2016-04-26
2347167796,2016-04-27,1,448,499,89.77955911823648,32,2016-04-27
2347167796,2016-04-28,1,408,450,90.66666666666666,72,2016-04-28
2347167796,2016-04-29,1,411,473,86.89217758985201,69,2016-04-29
3977333714,2016-04-12,1,274,469,58.42217484008528,206,2016-04-12
3977333714,2016-04-13,2,295,456,64.69298245614034,185,2016-04-13
3977333714,2016-04-14,1,291,397,73.29974811083123,189,2016-04-14
3977333714,2016-04-15,1,424,556,76.2589928057554,56,2016-04-15
3977333714,2016-04-16,1,283,510,55.490196078431374,197,2016-04-16
3977333714,2016-04-17,1,381,566,67.31448763250883,99,2016-04-17
3977333714,2016-04-18,2,412,522,78.9272030651341,68,2016-04-18
3977333714,2016-04-19,1,219,395,55.44303797468354,261,2016-04-19
3977333714,2016-04-20,2,152,305,49.8360655737705,328,2016-04-20
3977333714,2016-04-21,1,332,512,64.84375,148,2016-04-21
3977333714,2016-04-22,1,355,476,74.57983193277312,125,2016-04-22
3977333714,2016-04-23,1,235,372,63.17204301075269,245,2016-04-23
3977333714,2016-04-24,1,310,526,58.935361216730044,170,2016-04-24
3977333714,2016-04-25,1,262,467,56.102783725910065,218,2016-04-25
3977333714,2016-04-26,1,250,371,67.38544474393531,230,2016-04-26
3977333714,2016-04-27,1,349,540,64.62962962962962,131,2016-04-27
3977333714,2016-04-28,1,261,423,61.702127659574465,219,2016-04-28
3977333714,2016-04-29,1,333,478,69.6652719665272,147,2016-04-29
3977333714,2016-04-30,1,237,382,62.04188481675392,243,2016-04-30
3977333714,2016-05-01,1,383,626,61.18210862619809,97,2016-05-01
3977333714,2016-05-02,1,230,384,59.895833333333336,250,2016-05-02
3977333714,2016-05-03,1,292,500,58.4,188,2016-05-03
3977333714,2016-05-04,1,213,336,63.39285714285714,267,2016-05-04
3977333714,2016-05-05,1,318,480,66.25,162,2016-05-05
3977333714,2016-05-06,1,323,512,63.0859375,157,2016-05-06
3977333714,2016-05-07,1,237,443,53.49887133182845,243,2016-05-07
3977333714,2016-05-08,2,259,456,56.79824561403509,221,2016-05-08
3977333714,2016-05-10,1,312,452,69.02654867256636,168,2016-05-10
4020332650,2016-04-12,1,501,541,92.60628465804066,-21,2016-04-12
4020332650,2016-04-16,1,77,77,100.0,403,2016-04-16
4020332650,2016-05-03,1,322,332,96.98795180722891,158,2016-05-03
4020332650,2016-05-04,1,478,536,89.17910447761194,2,2016-05-04
4020332650,2016-05-05,1,226,248,91.12903225806451,254,2016-05-05
4020332650,2016-05-06,1,385,408,94.36274509803921,95,2016-05-06
4020332650,2016-05-08,1,364,402,90.54726368159204,116,2016-05-08
4020332650,2016-05-10,1,442,494,89.47368421052632,38,2016-05-10
4319703577,2016-04-14,1,535,557,96.05026929982047,-55,2016-04-14
4319703577,2016-04-15,1,465,491,94.70468431771894,15,2016-04-15
4319703577,2016-04-16,1,506,522,96.93486590038314,-26,2016-04-16
4319703577,2016-04-18,1,515,551,93.46642468239564,-35,2016-04-18
4319703577,2016-04-19,2,461,498,92.570281124498,19,2016-04-19
4319703577,2016-04-20,1,523,543,96.31675874769797,-43,2016-04-20
4319703577,2016-04-21,1,59,65,90.76923076923077,421,2016-04-21
4319703577,2016-04-22,1,533,550,96.9090909090909,-53,2016-04-22
4319703577,2016-04-23,1,692,722,95.84487534626038,-212,2016-04-23
4319703577,2016-04-24,1,467,501,93.21357285429141,13,2016-04-24
4319703577,2016-04-25,1,488,506,96.44268774703558,-8,2016-04-25
4319703577,2016-04-26,1,505,516,97.86821705426357,-25,2016-04-26
4319703577,2016-04-27,1,286,307,93.15960912052117,194,2016-04-27
4319703577,2016-04-28,1,497,522,95.21072796934867,-17,2016-04-28
4319703577,2016-04-29,1,523,546,95.7875457875458,-43,2016-04-29
4319703577,2016-04-30,1,490,516,94.96124031007753,-10,2016-04-30
4319703577,2016-05-01,1,484,500,96.8,-4,2016-05-01
4319703577,2016-05-02,1,478,506,94.46640316205533,2,2016-05-02
4319703577,2016-05-03,1,474,512,92.578125,6,2016-05-03
4319703577,2016-05-06,1,450,491,91.64969450101833,30,2016-05-06
4319703577,2016-05-07,1,507,530,95.66037735849056,-27,2016-05-07
4319703577,2016-05-08,1,602,638,94.35736677115987,-122,2016-05-08
4319703577,2016-05-09,1,535,565,94.69026548672566,-55,2016-05-09
4319703577,2016-05-10,1,487,517,94.1972920696325,-7,2016-05-10
4319703577,2016-05-11,1,529,558,94.80286738351255,-49,2016-05-11
4319703577,2016-05-12,1,302,321,94.0809968847352,178,2016-05-12
4388161847,2016-04-15,1,499,526,94.86692015209125,-19,2016-04-15
4388161847,2016-04-16,2,426,448,95.08928571428571,54,2016-04-16
4388161847,2016-04-17,2,619,641,96.56786271450858,-139,2016-04-17
4388161847,2016-04-18,1,99,104,95.1923076923077,381,2016-04-18
4388161847,2016-04-19,1,329,338,97.33727810650888,151,2016-04-19
4388161847,2016-04-20,1,421,451,93.34811529933481,59,2016-04-20
4388161847,2016-04-21,1,442,458,96.50655021834062,38,2016-04-21
4388161847,2016-04-22,1,82,85,96.47058823529412,398,2016-04-22
4388161847,2016-04-23,1,478,501,95.40918163672654,2,2016-04-23
4388161847,2016-04-24,3,552,595,92.77310924369748,-72,2016-04-24
4388161847,2016-04-26,1,319,346,92.1965317919075,161,2016-04-26
4388161847,2016-04-27,1,439,500,87.8,41,2016-04-27
4388161847,2016-04-28,1,428,458,93.44978165938865,52,2016-04-28
4388161847,2016-04-30,2,409,430,95.11627906976744,71,2016-04-30
4388161847,2016-05-01,1,547,597,91.62479061976549,-67,2016-05-01
4388161847,2016-05-02,2,368,376,97.87234042553192,112,2016-05-02
4388161847,2016-05-04,1,390,414,94.20289855072464,90,2016-05-04
4388161847,2016-05-05,1,471,495,95.15151515151516,9,2016-05-05
4388161847,2016-05-07,1,472,496,95.16129032258065,8,2016-05-07
4388161847,2016-05-08,2,529,541,97.78188539741221,-49,2016-05-08
4388161847,2016-05-09,1,62,65,95.38461538461539,418,2016-05-09
4388161847,2016-05-10,1,354,375,94.39999999999999,126,2016-05-10
4388161847,2016-05-11,1,469,494,94.93927125506073,11,2016-05-11
4445114986,2016-04-12,2,429,457,93.8730853391685,51,2016-04-12
4445114986,2016-04-13,2,370,406,91.13300492610837,110,2016-04-13
4445114986,2016-04-14,1,441,492,89.63414634146342,39,2016-04-14
4445114986,2016-04-15,2,337,379,88.91820580474933,143,2016-04-15
4445114986,2016-04-16,1,462,499,92.58517034068137,18,2016-04-16
4445114986,2016-04-17,1,98,107,91.58878504672897,382,2016-04-17
4445114986,2016-04-19,2,388,424,91.50943396226415,92,2016-04-19
4445114986,2016-04-20,1,439,462,95.02164502164501,41,2016-04-20
4445114986,2016-04-21,1,436,469,92.96375266524521,44,2016-04-21
4445114986,2016-04-22,1,388,417,93.04556354916068,92,2016-04-22
4445114986,2016-04-25,1,328,345,95.07246376811594,152,2016-04-25
4445114986,2016-04-26,2,353,391,90.28132992327366,127,2016-04-26
4445114986,2016-04-27,1,332,374,88.77005347593582,148,2016-04-27
4445114986,2016-04-28,1,419,442,94.79638009049773,61,2016-04-28
4445114986,2016-04-29,1,106,108,98.14814814814815,374,2016-04-29
4445114986,2016-04-30,1,322,353,91.21813031161473,158,2016-04-30
4445114986,2016-05-01,2,439,459,95.64270152505446,41,2016-05-01
4445114986,2016-05-02,1,502,542,92.619926199262,-22,2016-05-02
4445114986,2016-05-03,2,417,450,92.66666666666666,63,2016-05-03
4445114986,2016-05-04,2,337,363,92.8374655647383,143,2016-05-04
4445114986,2016-05-05,2,462,513,90.05847953216374,18,2016-05-05
4445114986,2016-05-06,2,374,402,93.03482587064677,106,2016-05-06
4445114986,2016-05-07,2,401,436,91.97247706422019,79,2016-05-07
4445114986,2016-05-08,1,361,391,92.32736572890026,119,2016-05-08
4445114986,2016-05-09,1,457,533,85.74108818011257,23,2016-05-09
4445114986,2016-05-10,1,405,426,95.07042253521126,75,2016-05-10
4445114986,2016-05-11,1,499,530,94.15094339622641,-19,2016-05-11
4445114986,2016-05-12,1,483,501,96.40718562874252,-3,2016-05-12
4558609924,2016-04-21,1,126,137,91.97080291970804,354,2016-04-21
4558609924,2016-04-26,1,103,121,85.12396694214877,377,2016-04-26
4558609924,2016-04-29,1,171,179,95.53072625698324,309,2016-04-29
4558609924,2016-05-01,1,115,129,89.14728682170544,365,2016-05-01
4558609924,2016-05-08,1,123,134,91.7910447761194,357,2016-05-08
4702921684,2016-04-12,1,425,439,96.81093394077449,55,2016-04-12
4702921684,2016-04-13,2,400,430,93.02325581395348,80,2016-04-13
4702921684,2016-04-14,1,384,415,92.53012048192771,96,2016-04-14
4702921684,2016-04-15,1,253,257,98.44357976653697,227,2016-04-15
4702921684,2016-04-16,2,382,406,94.08866995073892,98,2016-04-16
